,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
206,NCRA,"Nocera, Inc.",16.81M,9.23%,1430,24.07M
207,MTEX,"Mannatech, Incorporated",16.76M,-,396,133.60M
208,STKH,Steakholder Foods Ltd.,16.32M,1.63%,28772,-
209,RGF,"The Real Good Food Company, Inc.",16.25M,-7.04%,592951,156.38M
210,BRFH,"Barfresh Food Group, Inc.",16.01M,4.55%,4699,7.64M
211,EDTK,Skillful Craftsman Education Technology Limited,14.99M,4.31%,12949,5.52M
212,PAVS,Paranovus Entertainment Technology Ltd.,13.68M,0.81%,2751,51.46M
213,PETZ,"TDH Holdings, Inc.",12.60M,0.49%,34347,3.20M
214,EEIQ,EpicQuest Education Group International Limited,11.78M,-,113,5.71M
215,TKLF,"Yoshitsu Co., Ltd",11.67M,-13.71%,497402,166.27M
216,VINE,"Fresh Vine Wine, Inc.",10.70M,7.46%,17565,1.83M
217,GSUN,Golden Sun Education Group Limited,10.17M,12.38%,14014,6.16M
218,GV,Visionary Education Technology Holdings Group Inc.,9.45M,-1.82%,46771,8.43M
219,AQB,"AquaBounty Technologies, Inc.",8.42M,3.35%,33472,2.37M
220,BOF,BranchOut Food Inc.,8.29M,9.33%,14855,1.37M
221,WAFU,Wah Fu Education Group Limited,8.16M,-4.15%,14042,10.69M
222,JVA,"Coffee Holding Co., Inc.",7.25M,4.96%,8515,68.17M
223,LQR,LQR House Inc.,7.01M,-1.42%,88901,880.44K
224,BTCT,BTC Digital Ltd.,6.76M,-2.15%,10095,-20.57M
225,BON,Bon Natural Life Limited,6.22M,3.39%,90644,29.52M
226,KAVL,"Kaival Brands Innovations Group, Inc.",5.98M,-2.38%,36527,13.09M
227,FAMI,"Farmmi, Inc.",5.58M,-1.24%,100417,110.36M
228,XXII,"22nd Century Group, Inc.",5.39M,-7.30%,992142,82.41M
229,BRSH,Bruush Oral Care Inc.,5.30M,0.38%,1092805,-
230,AMBO,Ambow Education Holding Ltd.,5.03M,3.80%,7229,14.68M
231,BTTR,Better Choice Company Inc.,4.96M,0.74%,479257,42.16M
232,SNAX,"Stryve Foods, Inc.",3.42M,-,23536,20.23M
233,CLEU,China Liberal Education Holdings Limited,3.30M,13.41%,65816,17.89M
234,TANH,Tantech Holdings Ltd,2.52M,3.52%,23990,46.21M
235,EDBL,Edible Garden AG Incorporated,2.10M,-8.92%,129922,13.04M
236,BSFC,Blue Star Foods Corp.,1.89M,-0.91%,907438,7.17M
237,EAST,"Eastside Distilling, Inc.",1.86M,-6.56%,153348,10.81M
238,NUZE,"NuZee, Inc.",1.74M,1.49%,1387,3.35M
239,GNLN,"Greenlane Holdings, Inc.",1.64M,-6.38%,19936,77.34M
240,AGRI,AgriFORCE Growing Systems Ltd.,774.95K,3.72%,1254365,-
