,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
295,HIBB,"Hibbett, Inc.",806.49M,-6.19%,1321175,1.72B
296,MBUU,"Malibu Boats, Inc.",803.75M,2.88%,413493,1.21B
297,PTLO,Portillo's Inc.,783.58M,0.94%,807037,679.91M
298,AXL,"American Axle & Manufacturing Holdings, Inc.",771.49M,0.76%,16138836,6.08B
299,MYE,"Myers Industries, Inc.",769.43M,-0.14%,726098,813.07M
300,EVRI,Everi Holdings Inc.,763.22M,2.47%,1508493,807.82M
301,SABR,Sabre Corporation,751.37M,4.21%,8969350,2.91B
302,DESP,"Despegar.com, Corp.",747.76M,14.46%,2145568,706.04M
303,EVGO,"EVgo, Inc.",744.74M,1.21%,2397630,160.95M
304,DIN,"Dine Brands Global, Inc.",724.51M,0.11%,310556,831.07M
305,LAZR,"Luminar Technologies, Inc.",717.25M,-3.68%,22008773,69.78M
306,XPOF,"Xponential Fitness, Inc.",715.18M,2.48%,473485,318.66M
307,BWMX,"Betterware de México, S.A.P.I. de C.V.",709.01M,3.04%,69827,767.35M
308,CHPT,"ChargePoint Holdings, Inc.",707.28M,-0.59%,28282987,543.63M
309,JMIA,Jumia Technologies AG,694.25M,1.47%,2817019,207.11M
310,SMP,"Standard Motor Products, Inc.",685.62M,1.39%,268328,1.36B
311,HZO,"MarineMax, Inc.",678.35M,2.49%,325419,2.41B
312,DADA,Dada Nexus Limited,665.51M,2.01%,2554573,1.50B
313,ARKO,Arko Corp.,665.39M,-0.36%,803843,9.41B
314,FLWS,"1-800-FLOWERS.COM, Inc.",659.81M,0.79%,251592,1.91B
315,ECX,"ECARX Holdings, Inc.",651.17M,3.13%,55440,4.67B
316,DBI,Designer Brands Inc.,625.43M,2.04%,1547668,3.08B
317,PACK,Ranpak Holdings Corp.,620.49M,2.18%,1508896,336.30M
318,LEGH,Legacy Housing Corporation,614.43M,0.72%,138568,189.14M
319,BALY,Bally's Corporation,607.69M,-1.04%,406925,2.45B
320,SDA,SunCar Technology Group Inc.,607.02M,1.77%,323051,317.06M
321,BH,Biglari Holdings Inc.,603.59M,6.85%,8115,365.32M
322,MOV,"Movado Group, Inc.",588.65M,2.34%,482075,687.25M
323,CHUY,"Chuy's Holdings, Inc.",585.23M,1.05%,280230,461.31M
324,HSAI,Hesai Group,582.48M,5.69%,897268,264.74M
325,WOOF,"Petco Health and Wellness Company, Inc.",567.57M,2.43%,6758469,6.16B
326,LQDT,"Liquidity Services, Inc.",548.95M,1.65%,241750,313.51M
327,MLR,"Miller Industries, Inc.",544.35M,0.76%,71028,1.15B
328,TAST,"Carrols Restaurant Group, Inc.",544.01M,-,765093,1.88B
329,PLOW,"Douglas Dynamics, Inc.",529.55M,1.16%,476163,568.18M
330,SES,SES AI Corporation,525.35M,2.70%,509669,-
331,HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,521.60M,1.25%,132037,907.59M
332,KRT,Karat Packaging Inc.,517.71M,-10.31%,207289,405.65M
333,RICK,"RCI Hospitality Holdings, Inc.",509.82M,0.31%,70808,297.73M
334,HVT,"Haverty Furniture Companies, Inc.",509.51M,1.48%,208427,862.13M
335,HVT.A,"Haverty Furniture Companies, Inc.",502.67M,-0.61%,4,862.13M
336,HLLY,Holley Inc.,500.15M,-2.14%,448016,659.70M
337,QRTEA,"Qurate Retail, Inc.",494.19M,-0.84%,8227430,10.92B
338,QRTEB,"Qurate Retail, Inc.",480.94M,-6.90%,9177,10.92B
339,DENN,Denny's Corporation,466.10M,-0.11%,558469,463.92M
340,SRI,"Stoneridge, Inc.",461.52M,0.30%,203168,975.82M
341,JOUT,Johnson Outdoors Inc.,449.71M,1.82%,89631,624.15M
342,LIND,"Lindblad Expeditions Holdings, Inc.",439.72M,-1.19%,388515,569.54M
343,BBW,"Build-A-Bear Workshop, Inc.",428.60M,3.24%,685169,481.95M
344,NEGG,"Newegg Commerce, Inc.",414.34M,-2.68%,217350,-
345,HNST,"The Honest Company, Inc.",412.34M,-5.49%,1108111,344.37M
346,CURV,Torrid Holdings Inc.,399.76M,-8.33%,74147,1.19B
347,CRMT,"America's Car-Mart, Inc.",399.44M,3.11%,1091397,1.42B
348,MED,"Medifast, Inc.",398.89M,5.90%,566748,1.07B
349,ONEW,OneWater Marine Inc.,397.12M,3.37%,222873,1.93B
350,CSV,"Carriage Services, Inc.",387.32M,0.83%,94947,382.52M
351,RERE,ATRenew Inc.,378.79M,-,1259183,1.83B
352,MCFT,"MasterCraft Boat Holdings, Inc.",367.59M,4.27%,161771,537.04M
353,MPX,Marine Products Corporation,363.82M,1.06%,51859,383.73M
354,LOVE,The Lovesac Company,350.36M,0.44%,187272,688.24M
355,PBPB,Potbelly Corporation,338.95M,2.23%,399245,491.41M
356,UHG,"United Homes Group, Inc.",335.11M,1.76%,20655,421.47M
357,AGS,"PlayAGS, Inc.",333.78M,-2.07%,193684,356.54M
358,REAL,"The RealReal, Inc.",330.83M,0.96%,1912886,549.30M
359,GAMB,Gambling.com Group Limited,327.01M,1.40%,134000,97.47M
360,SNBR,Sleep Number Corporation,326.04M,-7.65%,900095,1.89B
361,FNKO,"Funko, Inc.",324.25M,4.42%,510930,1.10B
362,GHG,GreenTree Hospitality Group Ltd.,321.86M,1.61%,1641,-
